epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,174.669,1.23858,1.07005,0.93013,1.63893,0.91485,0.85032,0.97833,0.61352,0.91485,0.85032,0.97833,0.58924,0.8933,0.65698,0.72436,1.44474,0.000461094,0.000461094,0.000461094
53,177.947,1.16562,1.09892,0.89035,1.58562,0.9271,0.89666,0.995,0.61478,0.9271,0.89666,0.995,0.59209,0.84289,0.67035,0.70782,1.42089,0.000445625,0.000445625,0.000445625
54,181.219,1.20251,1.12311,0.88883,1.55665,0.664,1,0.82917,0.57771,0.6759,1,0.995,0.5536,0.84859,0.7291,0.70587,1.42815,0.000430156,0.000430156,0.000430156
55,184.534,1.10618,0.96009,0.8526,1.52796,0.65637,1,0.995,0.59158,0.65008,1,0.82917,0.56056,0.88156,0.77986,0.67111,1.43412,0.000414688,0.000414688,0.000414688
56,187.889,1.21736,1.09553,0.90975,1.60267,0.60592,1,0.96167,0.59198,0.59456,1,0.79583,0.53822,0.86111,0.81909,0.63764,1.42231,0.000399219,0.000399219,0.000399219
57,191.202,1.16961,0.96354,0.88151,1.56874,0.61932,1,0.995,0.64064,0.60598,1,0.82917,0.5847,0.86414,0.75983,0.62432,1.40751,0.00038375,0.00038375,0.00038375
58,194.499,1.16667,0.97497,0.89145,1.60869,0.68754,1,0.995,0.62481,0.66085,1,0.82917,0.57945,0.95408,0.70452,0.62433,1.41847,0.000368281,0.000368281,0.000368281
59,197.728,1.1077,0.93589,0.86706,1.5607,0.70679,1,0.995,0.62236,0.70679,1,0.995,0.55539,0.96372,0.66741,0.63377,1.41561,0.000352812,0.000352812,0.000352812
60,200.996,1.09816,0.94956,0.86486,1.5358,0.6998,1,0.995,0.6379,0.6998,1,0.995,0.56417,0.89275,0.64438,0.63197,1.39707,0.000337344,0.000337344,0.000337344
61,204.287,1.13993,0.97956,0.88523,1.5788,0.68951,1,0.995,0.66768,0.68951,1,0.995,0.61726,0.82942,0.64445,0.6227,1.37222,0.000321875,0.000321875,0.000321875
62,207.601,1.15313,1.0643,0.86179,1.54653,0.67412,1,0.995,0.66526,0.67412,1,0.995,0.60429,0.79991,0.65338,0.59486,1.35086,0.000306406,0.000306406,0.000306406
63,210.917,1.0645,0.92973,0.81181,1.48415,0.65581,1,0.995,0.67867,0.65581,1,0.995,0.60983,0.78531,0.65674,0.57768,1.34291,0.000290937,0.000290937,0.000290937
64,214.231,1.0555,1.03641,0.81496,1.4734,0.69331,1,0.995,0.68474,0.69331,1,0.995,0.68857,0.76263,0.66643,0.58283,1.3499,0.000275469,0.000275469,0.000275469
